"Salesperson Code","Salesperson Name","Customer Category","Customer Number","Cust Name","City","State","Zip Code","Sales YTD","GP Dollars YTD","GP Percent YTD","Last Year Sales Year To Date","GP Dollars LYTD","GP Percent LYTD","Last Invoice Date","Last Payment Date","AR Balance"
"176","DAVID HEISS","033","0012663","MANHASSET HOSPITAL","NEW HYDE PARK","NY","11040","229760.85","42911.98","18.68","963230.90","68611.46","20.10","04/15/2021","04/15/2021","137131.71"
"176","DAVID HEISS","033","0016551","STATEN ISLAND UNIV HOSP-NORTH","NEW HYDE PARK","NY","11040","191828.96","36227.83","18.89","868944.32","63616.86","20.26","04/16/2021","04/13/2021","118462.63"
"176","DAVID HEISS","033","0016400","SOUTH SHORE UNIV HOSP C/O","NEW HYDE PARK","NY","11040","113947.16","23114.20","20.29","413211.06","30184.98","20.63","04/15/2021","04/13/2021","97641.43"
"176","DAVID HEISS","033","0009880","L I JEWISH MEDICAL CENTER","NEW HYDE PK","NY","11040","271422.44","58974.40","21.73","1192480.50","90376.94","21.33","04/14/2021","04/13/2021","92462.43"
"176","DAVID HEISS","033","0009694","LENOX HILL HOSPITAL C/O","NEW HYDE PARK","NY","11040","155285.32","29740.25","19.15","695795.44","45967.45","19.29","04/16/2021","04/13/2021","91036.95"
"176","DAVID HEISS","033","0012668","FRANKLIN MEDICAL CENTER","NEW HYDE PARK","NY","11040","80843.10","20667.68","25.57","205940.59","17183.72","21.72","04/14/2021","04/13/2021","62586.92"
"176","DAVID HEISS","033","PHELPS0","PHELPS MEMORIAL HOSP","NEW HYDE PARK","NY","11040","106742.55","27855.47","26.10","271510.30","17870.74","14.74","04/15/2021","04/15/2021","61310.36"
"176","DAVID HEISS","033","0003290","GLEN COVE HOSPITAL","NEW HYDE PARK","NY","11040","71800.77","15275.84","21.28","199536.81","12544.06","19.34","04/15/2021","04/13/2021","47633.22"
"176","DAVID HEISS","033","0009883","COHEN CHILDREN'S HOSPITAL C/O","NEW HYDE PARK","NY","11040","66242.47","11918.64","17.99","253429.32","15954.52","16.40","04/13/2021","04/06/2021","46013.28"
"176","DAVID HEISS","033","0009882","HILLSIDE HOSPITAL C/O ","NEW HYDE PARK","NY","11042","62707.40","13784.18","21.98","234323.20","20665.11","21.24","04/14/2021","04/15/2021","42588.61"
"176","DAVID HEISS","033","0007560","HUNTINGTON HOSPITAL C/O","NEW HYDE PARK","NY","11040","66497.95","11343.46","17.06","296279.96","23758.14","21.74","04/12/2021","04/15/2021","41530.53"
"176","DAVID HEISS","033","0002688","NORTHWELL HEALTH C/O","NEW HYDE PARK","NY","11040","30687.76","6020.47","19.62","117225.03","10123.24","22.57","04/15/2021","04/08/2021","39768.41"
"176","DAVID HEISS","004","BLUE MO","BLUE MOON CARPET CLEANING","ROCKVILLE CENTRE","NY","11571","55193.37","11824.04","21.42","207145.28","14627.06","21.46","04/13/2021","03/17/2021","38976.91"
"176","DAVID HEISS","033","0012666","FOREST HILL HOSPITAL","NEW HYDE PARK","NY","11040","64556.22","11162.57","17.29","236309.34","16364.20","20.83","04/15/2021","04/13/2021","38102.68"
"176","DAVID HEISS","033","0012582","NSLIJ - REAL ESTATE SERVICES","NEW HYDE PARK","NY","11040","29127.70","3222.29","11.06","95962.60","4257.35","13.30","04/16/2021","04/13/2021","37448.05"
"176","DAVID HEISS","033","0001268","Northwell Health","New Hyde Park","NY","11040","14823.00","3802.60","25.65","35277.22","0.00","","03/25/2021","03/02/2021","32764.44"
"176","DAVID HEISS","033","0012660","PLAINVIEW HOSPITAL","NEW HYDE PARK","NY","11040","47441.89","9601.27","20.24","257072.65","16249.62","20.27","04/12/2021","04/15/2021","31089.37"
"176","DAVID HEISS","033","NORTH00","NORTHERN WESTCHESTER HOSPITAL","NEW HYDE PARK","NY","11040","44224.41","9260.74","20.94","180724.10","17662.87","23.16","04/12/2021","04/15/2021","30271.68"
