Salesperson Code,Salesperson Name,Customer Category,Customer Number,Cust Name,City,State,Zip Code, Sales YTD , GP Dollars YTD ,GP Percent YTD, Last Year Sales Year To Date , GP Dollars LYTD ,GP Percent LYTD,Last Invoice Date,Last Payment Date,AR Balance
185,SHARON MCCARTHY,1,11990,NASSAU HEALTH CARE CORPORATION,EAST MEADOW,NY,11554," $77,978.90 "," $19,000.08 ",24.37," $366,061.64 "," $34,726.96 ",28.99,4/16/2021,4/16/2021,102832.69
185,SHARON MCCARTHY,2,4546,EPISCOPAL HEALTH SERVICES C/O,GARDEN CITY,NY,11530," $21,754.25 "," $8,617.20 ",39.61," $84,647.92 "," $4,563.68 ",28.78,4/16/2021,4/14/2021,21155.01
185,SHARON MCCARTHY,6,13280,"ALLIED AVIATION NY SERV,INC",JAMAICA,NY,11430," $7,529.79 "," $2,524.23 ",33.52," $32,397.30 "," $5,099.71 ",37.77,4/16/2021,2/8/2021,8130.09
185,SHARON MCCARTHY,1,16330,SOUTH NASSAU COMM.HOSPITAL,OCEANSIDE,NY,11572-9007," $41,232.87 "," $11,667.39 ",28.3," $121,978.99 "," $11,979.37 ",29.06,4/16/2021,4/14/2021,3534.69
185,SHARON MCCARTHY,16,19160,VALLEY DREAM HOUSING CO.,VALLEY STREAM,NY,11580," $2,208.66 ", $674.85 ,30.55," $4,606.28 ", $345.68 ,26.84,4/16/2021,4/9/2021,677.3
185,SHARON MCCARTHY,8,5550,VILLAGE OF GARDEN CITY,GARDEN CITY,NY,11530, $786.60 , $269.10 ,34.21, $490.36 , $99.53 ,34.21,4/16/2021,3/19/2021,589.73
185,SHARON MCCARTHY,21,13143,SUNY @ STONYBROOK,STONYBROOK,NY,11794," $33,275.65 "," $11,573.35 ",34.78," $176,803.61 "," $6,358.60 ",31.16,4/15/2021,3/19/2021,13439.9
185,SHARON MCCARTHY,1,12871,NYP QUEENS MEDICAL CENTER,NEW YORK,NY,10065," $5,734.95 "," $1,953.40 ",34.06," $17,880.84 "," $2,474.83 ",34.46,4/15/2021,4/5/2021,6778.54
185,SHARON MCCARTHY,5,11320,OERLIKON METCO (US) INC,WESTBURY,NY,11590," $8,236.47 "," $2,417.85 ",29.36," $38,600.22 "," $4,669.26 ",30.28,4/15/2021,4/13/2021,6405.25
185,SHARON MCCARTHY,2,13141,SUNY @ STONYBROOK/ LONG ISLAND,STONY BROOK,NY,11790," $7,408.77 "," $2,564.78 ",34.62," $94,971.99 "," $6,110.68 ",28.08,4/15/2021,4/9/2021,3800.1
185,SHARON MCCARTHY,1,17430,TRIBOROUGH BRIDGE & TUNNEL C/O,NEW YORK,NY,10001," $2,925.00 "," $1,461.00 ",49.95," $20,006.25 ", $-   ,,4/15/2021,4/9/2021,1462.5
185,SHARON MCCARTHY,6,11740,"TRANSDEV SERVICES , INC",GARDEN CITY,NY,11530-6400," $12,354.27 "," $3,624.91 ",29.34," $46,086.72 "," $5,840.19 ",29.56,4/14/2021,4/8/2021,3740.14
185,SHARON MCCARTHY,1,19680,NYU WINTHROP HOSPITAL,ELMSFORD,NY,10523," $5,746.97 "," $2,029.42 ",35.31," $22,662.30 "," $5,677.58 ",41.16,4/13/2021,4/16/2021,2122.61
185,SHARON MCCARTHY,26,ADULTS0,ADULTS AND CHILDREN WITH ,BETHPAGE,NY,11714," $5,783.09 "," $2,348.13 ",40.6," $9,455.81 "," $2,368.98 ",46.59,4/13/2021,3/15/2021,1539.64
185,SHARON MCCARTHY,8,15190,VILLAGE OF ROCKVILLE CENTRE,ROCKVILLE CENTR,NY,11571," $3,547.53 "," $1,153.36 ",32.51," $26,724.36 "," $2,112.01 ",33.52,4/9/2021,4/12/2021,365.9
185,SHARON MCCARTHY,2,12000,A.HOLLY PATTERSON HOME,UNIONDALE,NY,11553," $57,759.30 "," $16,115.03 ",27.9," $254,491.08 "," $23,506.53 ",28.78,4/8/2021,4/16/2021,21316.82
185,SHARON MCCARTHY,1,18230,UNIVERSITY HOSPITAL,RONKONKOMA,NY,11779, $225.94 , $79.93 ,35.38," $15,150.50 "," $1,690.46 ",47.29,4/6/2021,4/8/2021,186.45
185,SHARON MCCARTHY,16,16580,STANAN MANAGEMENT CORP.,HEMPSTEAD,NY,11550," $22,559.85 "," $5,610.76 ",24.87," $19,025.92 "," $1,622.61 ",38.42,3/31/2021,3/25/2021,575.5
185,SHARON MCCARTHY,1,1051,MEMORIAL SLOAN KETTERING (LI),NEW YORK,NY,10017," $2,733.44 ", $707.87 ,25.9," $8,222.78 "," $1,202.30 ",30.24,3/31/2021,4/14/2021,
185,SHARON MCCARTHY,1,13144,SUNY @ STONYBROOK,STONYBROOK,NY,11794," $2,942.25 ", $778.65 ,26.46," $11,160.80 ", $587.16 ,29.24,3/30/2021,4/5/2021,
185,SHARON MCCARTHY,6,9811,"LIBERTY LINES TRANSIT,INC.",YONKERS,NY,10701," $4,734.78 "," $1,491.78 ",31.51," $10,691.07 "," $1,129.56 ",30.86,3/29/2021,3/26/2021,3009.64
185,SHARON MCCARTHY,11,19230,WALDORF SCHOOL OF,GARDEN CITY,NY,11530, $116.90 , $47.81 ,40.9, $206.00 , $84.24 ,40.89,3/29/2021,4/1/2021,
185,SHARON MCCARTHY,16,14580,RADDOCK MANAGEMENT,ALBERTSON,NY,11507," $1,052.35 ", $376.74 ,35.8, $720.98 , $-   ,,3/29/2021,4/12/2021,
185,SHARON MCCARTHY,21,13140,SUNY @ STONYBROOK,STONY BROOK,NY,11794," $2,539.59 ", $668.22 ,26.31," $11,514.84 "," $1,232.04 ",26.42,3/18/2021,4/8/2021,
185,SHARON MCCARTHY,11,16540,ST AGNES ELEM. SCHOOL,ROCKVILLE CENTR,NY,11570," $1,398.70 ", $435.86 ,31.16," $6,095.46 ", $868.88 ,28.46,3/12/2021,3/22/2021,
185,SHARON MCCARTHY,8,5360,VILLAGE OF FREEPORT,FREEPORT,NY,11520, $136.66 , $50.31 ,36.81, $471.39 , $61.57 ,33.56,3/11/2021,3/8/2021,61.5
185,SHARON MCCARTHY,1,17431,TRIBOROUGH BRIDGE & TUNNEL,RANDALLS ISLAND,NY,10035," $1,154.25 ", $475.55 ,41.2," $5,200.88 "," $1,144.76 ",37.57,3/11/2021,3/16/2021,
185,SHARON MCCARTHY,8,10490,VILLAGE OF MALVERNE,MALVERNE,NY,11565, $178.21 , $60.97 ,34.21, $719.94 , $60.97 ,34.21,3/9/2021,3/22/2021,
185,SHARON MCCARTHY,24,1204,NYC DEPT OF HEALTH AND MENTAL,SEAFORD,NY,11783," $16,766.17 "," $4,745.12 ",28.3," $21,184.96 ", $-   ,,3/4/2021,1/8/2021,31538.57
185,SHARON MCCARTHY,16,7029,HERBERT SLEPOY CORP,LYNBROOK,NY,11563," $3,081.89 ", $941.69 ,30.56, $850.17 , $-   ,,3/4/2021,4/9/2021,
185,SHARON MCCARTHY,8,6950,VILLAGE OF HEMPSTEAD,HEMPSTEAD,NY,11550, $437.76 , $251.31 ,57.41," $2,394.90 ", $872.27 ,40.28,2/26/2021,3/25/2021,
185,SHARON MCCARTHY,1,17435,TRIBORO BRIDGE & TUNNEL AUTH,BROOKLYN,NY,11234, $336.80 , $96.20 ,28.56," $1,684.36 ", $40.64 ,28.57,2/18/2021,2/26/2021,
185,SHARON MCCARTHY,8,10050,CITY OF LONG BEACH,LONG BEACH,NY,11561," $1,319.66 ", $451.46 ,34.21," $8,096.70 ", $99.53 ,34.21,1/22/2021,4/12/2021,
185,SHARON MCCARTHY,2,10540,MARY MANNING WALSH C/O,NEW YORK,NY,10016, $59.07 , $14.64 ,24.78," $8,760.87 "," $3,291.85 ",38.39,1/15/2021,11/2/2020,59.07
185,SHARON MCCARTHY,26,15430,SALVATION ARMY,HEMPSTEAD,NY,11550, $268.65 , $83.37 ,31.03," $1,164.76 ", $116.74 ,31.03,1/12/2021,2/22/2021,
185,SHARON MCCARTHY,3,4550,EPISCOPAL DIOCESE OF L.I,GARDEN CITY,NY,11530, $-   , $-   ,0," $2,432.49 ", $162.56 ,31.51,12/24/2020,1/18/2021,
185,SHARON MCCARTHY,1,1233,NASSAU HEALTH CARE CORPORATION,WESTBURY ,NY,11590, $-   , $-   ,0," $32,720.33 "," $1,926.39 ",23.4,12/9/2020,12/28/2020,
185,SHARON MCCARTHY,8,19010,VILLAGE OF VALLEY STREAM,VALLEY STREAM,NY,11582, $-   , $-   ,0," $2,138.93 ", $-   ,,11/13/2020,12/24/2020,515.46
185,SHARON MCCARTHY,11,230,A.H.R.C,BROOKVILLE,NY,11545, $-   , $-   ,0," $3,831.99 ", $161.65 ,28.64,9/30/2020,10/30/2020,
185,SHARON MCCARTHY,21,11986,NASSAU COMMUNITY COLLEGE,GARDEN CITY,NY,11530, $-   , $-   ,0," $36,401.30 "," $6,195.82 ",33.84,9/17/2020,1/20/2021,
185,SHARON MCCARTHY,8,2560,VILLAGE OF CEDARHURST,CEDARHURST,NY,11516, $-   , $-   ,0," $3,712.73 ", $285.01 ,14.01,7/24/2020,8/6/2020,
185,SHARON MCCARTHY,6,7523,AFFILIATED BUILDING MAINT,JAMAICA,NY,11430, $-   , $-   ,0," $3,146.21 ", $399.25 ,31.51,7/10/2020,10/2/2020,
185,SHARON MCCARTHY,10,9210,KINGSBOROUGH COMMUNITY COLLEGE,BROOKLYN,NY,11235, $-   , $-   ,0," $8,152.90 ", $-   ,,7/2/2020,8/11/2020,
185,SHARON MCCARTHY,2,ST VINC,ST VINCENT DE PAUL RESIDENCE,NEW YORK,NY,10016, $-   , $-   ,0, $120.85 , $-   ,,6/9/2020,10/5/2020,
185,SHARON MCCARTHY,1,17436,TRIBOROUGH BRIDGE & TUNNEL AUT,STATEN ISLAND,NY,10305, $-   , $-   ,0, $969.36 , $286.86 ,29.59,4/27/2020,4/30/2020,
185,SHARON MCCARTHY,6,6200,MTA BUS COMPANY C/O,NEW YORK,NY,10001-2402, $-   , $-   ,0, $414.00 , $93.20 ,22.51,4/15/2020,5/28/2020,
185,SHARON MCCARTHY,16,19451,WENDELL TERRACE OWNERS CORP,CEDARHURST,NY,11516, $-   , $-   ,0, $354.51 , $130.14 ,36.71,3/5/2020,5/11/2020,
185,SHARON MCCARTHY,8,4290,VILLAGE OF EAST ROCKAWAY,EAST ROCKAWAY,NY,11518, $-   , $-   ,0," $2,260.49 ", $815.37 ,36.07,3/5/2020,11/16/2020,
185,SHARON MCCARTHY,8,11981,NASSAU COUNTY CORRECTIONAL CTR,EAST MEADOW,NY,11554, $-   , $-   ,0, $-   , $-   ,,3/2/2020,10/15/2018,
185,SHARON MCCARTHY,16,1900,BRDC C/O,GARDEN CITY,NY,11530, $-   , $-   ,0, $197.99 , $60.50 ,30.56,2/11/2020,3/4/2020,
185,SHARON MCCARTHY,26,15410,SALVATION ARMY,FREEPORT,NY,11520, $-   , $-   ,0, $-   , $-   ,,2/7/2020,4/30/2019,
185,SHARON MCCARTHY,8,5450,FRANKLIN SQUARE PUBLIC LIBRARY,FRANKLIN SQUARE,NY,11010, $-   , $-   ,0, $8.66 , $2.96 ,34.18,1/7/2020,3/4/2020,
185,SHARON MCCARTHY,1,17434,TRIBOROUGH BRIDGE & TUNNEL,L.I. CITY,NY,11101, $-   , $-   ,0, $-   , $-   ,,12/26/2019,12/31/2019,
185,SHARON MCCARTHY,21,13175,NEW YORK UNIVERSITY,NEW YORK,NY,10003, $-   , $-   ,0, $-   , $-   ,,11/27/2019,2/3/2020,
185,SHARON MCCARTHY,8,7060,VILLAGE OF HEMPSTEAD,HEMPSTEAD,NY,11550, $-   , $-   ,0, $-   , $-   ,,11/4/2019,11/25/2019,
185,SHARON MCCARTHY,1,11999,NASSAU COUNTY MEDICAL EXAMINER,EAST MEADOW,NY,11554, $-   , $-   ,0, $-   , $-   ,,10/29/2019,12/2/2019,
185,SHARON MCCARTHY,8,13239,OCEANSIDE LIBRARY,OCEANSIDE,NY,11572, $-   , $-   ,0, $-   , $-   ,,10/3/2019,10/28/2019,
185,SHARON MCCARTHY,9,18540,U.S. POST OFFICE VMF,BROOKLYN,NY,11256, $-   , $-   ,0, $-   , $-   ,,8/15/2019,5/9/2014,
185,SHARON MCCARTHY,2,5920,GURWIN JEWISH NURSING,COMMACK,NY,11725, $-   , $-   ,0, $-   , $-   ,,7/18/2019,9/4/2019,
185,SHARON MCCARTHY,16,1126,"EMPIRE STATE REALTY TRUST,INC",NEW YORK,NY,10018, $-   , $-   ,0, $-   , $-   ,,3/29/2019,5/2/2019,
